# EcoSim run log
# timestamp=2026-06-25 18:05:30
# sampleIntervalSeconds=1
#
# --- SimulationSettings ---
# preyEnergyPerPlant=0.35
# preyReproThreshold=0.55
# preyReproCost=0.25
# preyReproCooldown=30
# preyCarryingCapacity=150
# preyCapPredatorSensitivity=0
# attackRange=2
# killChance=0.25
# handlingTime=36
# predatorEnergyPerPrey=0.55
# predatorReproThreshold=0.6
# predatorReproCost=0.4
# predatorReproCooldown=54
# predatorMetabolicDrain=0.0027
# preyMetabolicDrain=0.0005
# hungerRate=0.0005
# predatorFoodRatio=3
# predatorInterference=0.5
# energyMax=1
# preyScale=1
# predatorScale=1.2
# mutationRate=0.05
# mutationStrength=0.1
# speedMin=1.5
# speedMax=7
# visionMin=6
# visionMax=24
# socialMin=-2
# socialMax=2.5
# plantGrowthRate=0.01
# plantCarryingCapacityFraction=0.35
# fruitRegrowTime=48
# plantMinHeight=0.25
# logSampleInterval=1
#
# --- Coefficienti Lotka-Volterra (derivati, informativi) ---
# alpha=0.033333
# beta=0.005
# gamma=0.0027
# delta=1.375
#
# --- Popolazione iniziale ---
# prey0=30
# predators0=8
# plants0=0
#
t_seconds,prey,predators,plants
0.0,30,8,0
1.0,30,8,0
2.0,30,8,15
3.0,30,8,15
4.0,30,8,15
5.0,30,8,23
6.0,30,8,23
7.0,30,8,37
8.0,30,8,37
9.0,30,8,44
10.0,30,8,44
11.0,30,8,52
12.0,30,8,52
13.0,30,8,64
14.0,30,8,64
15.0,30,8,71
16.0,32,8,71
17.0,33,8,76
18.0,36,8,76
19.0,37,8,78
20.0,38,8,78
21.0,42,8,80
22.0,43,8,80
23.0,44,8,81
24.0,46,8,81
25.0,49,8,90
26.0,52,8,90
27.0,52,8,87
28.0,53,8,87
29.0,55,9,84
30.0,60,10,84
31.0,60,10,84
32.0,60,10,84
33.0,60,10,88
34.0,60,10,88
35.0,60,10,89
36.0,60,10,89
37.0,60,10,90
38.0,59,10,90
39.0,59,11,94
40.0,59,11,94
41.0,59,11,95
42.0,59,11,95
43.0,59,11,94
44.0,59,12,94
45.0,59,12,97
46.0,59,12,97
47.0,59,14,105
48.0,62,14,105
49.0,63,14,108
50.0,64,14,108
51.0,65,15,114
52.0,67,15,114
53.0,67,16,109
54.0,68,16,109
55.0,72,16,114
56.0,75,16,114
57.0,76,16,116
58.0,77,16,116
59.0,79,16,106
60.0,85,16,106
61.0,85,16,108
62.0,86,16,108
63.0,86,16,110
64.0,86,16,110
65.0,85,16,107
66.0,85,16,107
67.0,85,16,105
68.0,85,16,105
69.0,85,16,100
70.0,85,16,100
71.0,85,16,104
72.0,85,16,104
73.0,85,16,105
74.0,85,16,105
75.0,85,16,110
76.0,84,16,110
77.0,85,16,108
78.0,88,16,108
79.0,88,16,110
80.0,88,16,110
81.0,90,16,112
82.0,94,16,112
83.0,94,17,118
84.0,95,18,118
85.0,97,18,114
86.0,100,18,114
87.0,101,18,116
88.0,101,18,116
89.0,101,18,116
90.0,103,18,113
91.0,104,18,113
92.0,106,18,112
93.0,105,19,112
94.0,105,19,107
95.0,105,19,107
96.0,107,19,109
97.0,107,19,109
98.0,109,20,118
99.0,109,20,118
100.0,109,20,120
101.0,110,22,120
102.0,105,24,124
103.0,104,25,124
104.0,104,26,122
105.0,104,27,122
106.0,104,27,123
107.0,106,29,123
108.0,108,29,116
109.0,108,29,116
110.0,108,29,119
111.0,109,29,119
112.0,109,29,116
113.0,109,29,116
114.0,109,29,114
115.0,112,29,114
116.0,115,30,120
117.0,116,30,120
118.0,115,30,119
119.0,114,30,119
120.0,115,30,116
121.0,115,30,116
122.0,114,30,120
123.0,116,30,120
124.0,116,30,122
125.0,115,30,122
126.0,117,30,124
127.0,118,30,124
128.0,119,30,125
129.0,119,30,125
130.0,119,30,123
131.0,119,30,123
132.0,119,30,119
133.0,119,30,119
134.0,119,30,116
135.0,119,30,116
136.0,119,30,122
137.0,119,31,122
138.0,120,33,119
139.0,120,33,119
140.0,120,33,116
141.0,123,33,116
142.0,125,33,113
143.0,125,34,113
144.0,125,34,120
145.0,125,34,120
146.0,129,34,123
147.0,130,34,123
148.0,129,35,117
149.0,128,35,117
150.0,128,35,112
151.0,126,35,112
152.0,127,37,112
153.0,129,37,114
154.0,129,37,114
155.0,126,40,116
156.0,127,42,116
157.0,127,42,113
158.0,127,44,113
159.0,125,45,113
160.0,125,45,113
161.0,124,47,110
162.0,124,47,110
163.0,123,47,114
164.0,122,47,114
165.0,121,47,112
166.0,120,47,112
167.0,120,48,115
168.0,121,48,115
169.0,121,48,114
170.0,121,48,114
171.0,123,48,113
172.0,125,48,113
173.0,126,48,110
174.0,127,48,110
175.0,126,48,110
176.0,126,48,110
177.0,127,48,104
178.0,126,48,104
179.0,125,49,109
180.0,125,49,109
181.0,124,50,108
182.0,124,51,108
183.0,128,51,109
184.0,129,51,109
185.0,129,51,106
186.0,130,51,106
187.0,131,51,104
188.0,131,51,104
189.0,131,51,99
190.0,131,51,99
191.0,130,52,106
192.0,130,54,106
193.0,130,54,110
194.0,128,55,110
195.0,127,55,112
196.0,128,55,112
197.0,128,56,112
198.0,129,56,112
199.0,131,56,109
200.0,131,56,109
201.0,131,56,106
202.0,131,57,106
203.0,131,57,115
204.0,132,57,115
205.0,133,57,113
206.0,133,59,113
207.0,133,59,114
208.0,133,59,114
209.0,133,62,116
210.0,132,64,116
211.0,132,64,118
212.0,130,66,118
213.0,132,66,120
214.0,133,68,120
215.0,133,71,120
216.0,129,70,118
217.0,130,67,118
218.0,128,67,125
219.0,129,67,125
220.0,128,67,132
221.0,128,69,132
222.0,128,69,127
223.0,127,70,127
224.0,127,70,127
225.0,127,70,127
226.0,127,71,130
227.0,125,73,130
228.0,125,73,135
229.0,126,73,135
230.0,127,73,133
231.0,126,73,133
232.0,126,73,139
233.0,125,74,139
234.0,127,74,137
235.0,128,75,137
236.0,127,76,130
237.0,127,77,130
238.0,127,77,131
239.0,128,77,131
240.0,127,77,127
241.0,124,77,127
242.0,123,77,127
243.0,123,77,127
244.0,122,78,128
245.0,122,79,128
246.0,122,81,122
247.0,123,81,122
248.0,123,82,126
249.0,123,82,126
250.0,124,82,125
251.0,124,83,125
252.0,125,84,121
253.0,122,84,121
254.0,124,84,119
255.0,123,84,119
256.0,123,86,122
257.0,122,86,122
258.0,121,86,117
259.0,122,86,117
260.0,122,87,116
261.0,122,88,116
262.0,120,90,116
263.0,120,94,116
264.0,119,97,106
265.0,119,98,106
266.0,119,100,100
267.0,120,101,100
268.0,118,103,97
269.0,118,106,97
270.0,115,108,97
271.0,114,108,97
272.0,114,108,97
273.0,113,108,101
274.0,112,108,101
275.0,110,110,106
276.0,109,112,106
277.0,105,113,106
278.0,106,114,106
279.0,105,115,108
280.0,106,117,108
