# EcoSim run log
# timestamp=2026-06-25 18:00:56
# sampleIntervalSeconds=1
#
# --- SimulationSettings ---
# preyEnergyPerPlant=0.35
# preyReproThreshold=0.55
# preyReproCost=0.25
# preyReproCooldown=30
# preyCarryingCapacity=150
# preyCapPredatorSensitivity=0
# attackRange=2
# killChance=0.25
# handlingTime=36
# predatorEnergyPerPrey=0.55
# predatorReproThreshold=0.6
# predatorReproCost=0.4
# predatorReproCooldown=54
# predatorMetabolicDrain=0.0027
# preyMetabolicDrain=0.0005
# hungerRate=0.0005
# predatorFoodRatio=3
# predatorInterference=0.5
# energyMax=1
# preyScale=1
# predatorScale=1.2
# mutationRate=0.05
# mutationStrength=0.1
# speedMin=1.5
# speedMax=7
# visionMin=6
# visionMax=24
# socialMin=-2
# socialMax=2.5
# plantGrowthRate=0.01
# plantCarryingCapacityFraction=0.35
# fruitRegrowTime=48
# plantMinHeight=0.25
# logSampleInterval=1
#
# --- Coefficienti Lotka-Volterra (derivati, informativi) ---
# alpha=0.033333
# beta=0.005
# gamma=0.0027
# delta=1.375
#
# --- Popolazione iniziale ---
# prey0=45
# predators0=25
# plants0=0
#
t_seconds,prey,predators,plants
0.0,45,25,0
1.0,45,25,0
2.0,45,25,8
3.0,45,25,8
4.0,45,25,26
5.0,45,25,26
6.0,45,25,26
7.0,45,25,34
8.0,45,25,34
9.0,45,25,41
10.0,45,25,41
11.0,45,25,58
12.0,45,25,58
13.0,45,25,66
14.0,45,25,66
15.0,45,25,70
16.0,47,25,70
17.0,50,25,74
18.0,51,25,74
19.0,55,25,78
20.0,59,25,78
21.0,61,25,81
22.0,66,25,81
23.0,68,25,84
24.0,69,25,84
25.0,73,25,89
26.0,76,25,89
27.0,82,25,97
28.0,82,25,97
29.0,85,26,95
30.0,90,26,95
31.0,90,27,100
32.0,89,30,100
33.0,89,30,106
34.0,89,30,106
35.0,89,30,112
36.0,88,30,112
37.0,88,31,118
38.0,88,32,118
39.0,88,33,115
40.0,88,39,115
41.0,85,42,112
42.0,85,42,112
43.0,85,44,111
44.0,84,44,111
45.0,84,45,116
46.0,84,45,116
47.0,86,46,119
48.0,86,47,119
49.0,90,47,118
50.0,91,47,118
51.0,95,49,116
52.0,99,49,116
53.0,100,50,115
54.0,101,50,115
55.0,105,50,112
56.0,109,50,112
57.0,113,50,116
58.0,114,50,116
59.0,116,50,120
60.0,121,50,120
61.0,121,50,116
62.0,122,50,116
63.0,121,50,116
64.0,121,50,116
65.0,121,50,118
66.0,122,50,118
67.0,122,50,115
68.0,122,50,115
69.0,122,50,117
70.0,122,50,117
71.0,122,50,114
72.0,122,50,114
73.0,122,50,116
74.0,122,50,116
75.0,121,50,112
76.0,120,50,112
77.0,120,50,110
78.0,122,50,110
79.0,122,50,112
80.0,123,50,112
81.0,122,50,116
82.0,124,50,116
83.0,124,51,116
84.0,124,51,114
85.0,124,51,114
86.0,124,54,118
87.0,122,55,118
88.0,122,55,118
89.0,123,55,118
90.0,124,55,116
91.0,123,55,116
92.0,123,55,115
93.0,123,56,115
94.0,123,62,115
95.0,123,65,115
96.0,122,65,114
97.0,122,66,114
98.0,121,66,119
99.0,122,67,119
100.0,120,68,117
101.0,120,69,117
102.0,118,70,120
103.0,114,72,120
104.0,110,74,108
105.0,109,78,108
106.0,109,78,113
107.0,108,81,113
108.0,107,82,115
109.0,107,83,115
110.0,107,83,118
111.0,106,84,118
112.0,107,85,116
113.0,106,86,116
114.0,106,86,114
115.0,106,86,114
116.0,107,87,124
117.0,105,88,124
118.0,103,88,125
119.0,102,88,125
120.0,103,88,124
121.0,103,88,124
122.0,102,88,125
123.0,100,89,125
124.0,98,89,128
125.0,98,89,128
126.0,98,89,131
127.0,98,89,131
128.0,95,90,129
129.0,96,90,129
130.0,97,90,129
