# EcoSim run log
# timestamp=2026-06-25 18:07:09
# sampleIntervalSeconds=1
#
# --- SimulationSettings ---
# preyEnergyPerPlant=0.35
# preyReproThreshold=0.55
# preyReproCost=0.25
# preyReproCooldown=30
# preyCarryingCapacity=150
# preyCapPredatorSensitivity=0
# attackRange=2
# killChance=0.25
# handlingTime=36
# predatorEnergyPerPrey=0.55
# predatorReproThreshold=0.6
# predatorReproCost=0.4
# predatorReproCooldown=54
# predatorMetabolicDrain=0.0027
# preyMetabolicDrain=0.0005
# hungerRate=0.0005
# predatorFoodRatio=3
# predatorInterference=0.5
# energyMax=1
# preyScale=1
# predatorScale=1.2
# mutationRate=0.05
# mutationStrength=0.1
# speedMin=1.5
# speedMax=7
# visionMin=6
# visionMax=24
# socialMin=-2
# socialMax=2.5
# plantGrowthRate=0.01
# plantCarryingCapacityFraction=0.35
# fruitRegrowTime=48
# plantMinHeight=0.25
# logSampleInterval=1
#
# --- Coefficienti Lotka-Volterra (derivati, informativi) ---
# alpha=0.033333
# beta=0.005
# gamma=0.0027
# delta=1.375
#
# --- Popolazione iniziale ---
# prey0=45
# predators0=15
# plants0=0
#
t_seconds,prey,predators,plants
0.0,45,15,0
1.0,45,15,0
2.0,45,15,15
3.0,45,15,15
4.0,45,15,27
5.0,45,15,27
6.0,45,15,27
7.0,45,15,32
8.0,45,15,32
9.0,45,15,35
10.0,45,15,35
11.0,45,15,38
12.0,45,15,38
13.0,45,15,45
14.0,45,15,45
15.0,45,15,56
16.0,50,15,56
17.0,51,15,60
18.0,55,15,60
19.0,60,15,67
20.0,63,15,67
21.0,64,15,65
22.0,68,15,65
23.0,71,15,72
24.0,75,15,72
25.0,79,15,77
26.0,80,15,77
27.0,82,15,81
28.0,86,16,81
29.0,88,16,83
30.0,90,16,83
31.0,90,17,81
32.0,90,17,81
33.0,90,17,82
34.0,88,18,82
35.0,88,19,87
36.0,88,19,87
37.0,88,19,89
38.0,88,19,89
39.0,88,21,93
40.0,88,21,93
41.0,86,22,97
42.0,86,22,97
43.0,86,24,99
44.0,86,24,99
45.0,86,25,95
46.0,90,25,95
47.0,92,26,92
48.0,94,27,92
49.0,101,27,102
50.0,101,27,102
51.0,103,28,98
52.0,107,29,98
53.0,110,29,106
54.0,114,30,106
55.0,119,30,103
56.0,120,30,103
57.0,122,30,104
58.0,125,30,104
59.0,127,30,107
60.0,130,30,107
61.0,131,30,104
62.0,131,30,104
63.0,131,30,112
64.0,131,30,112
65.0,131,30,109
66.0,131,30,109
67.0,131,30,107
68.0,131,30,107
69.0,131,30,107
70.0,131,30,107
71.0,131,30,110
72.0,131,30,110
73.0,130,30,110
74.0,129,30,109
75.0,129,30,109
76.0,130,30,110
77.0,131,30,110
78.0,131,30,108
79.0,131,30,108
80.0,132,30,108
81.0,131,30,108
82.0,131,30,108
83.0,132,31,108
84.0,134,31,111
85.0,134,32,111
86.0,134,32,114
87.0,134,32,114
88.0,135,33,115
89.0,136,34,115
90.0,136,34,115
91.0,137,34,115
92.0,138,34,115
93.0,137,35,115
94.0,138,35,117
95.0,137,36,117
96.0,138,36,120
97.0,139,37,120
98.0,139,38,121
99.0,139,39,121
100.0,139,39,123
101.0,140,39,123
102.0,137,42,126
103.0,138,42,126
104.0,136,43,127
105.0,136,44,127
106.0,136,45,127
107.0,136,45,127
108.0,136,46,122
109.0,136,46,122
110.0,137,46,124
111.0,136,46,124
112.0,136,46,122
113.0,138,46,122
114.0,138,46,121
115.0,138,46,121
116.0,138,46,119
117.0,137,47,119
118.0,138,47,121
119.0,134,49,121
120.0,134,49,121
121.0,135,49,121
122.0,135,49,121
123.0,135,49,121
124.0,134,49,121
125.0,135,49,124
126.0,135,49,124
127.0,136,49,123
128.0,136,49,123
129.0,135,50,122
130.0,135,50,122
131.0,134,51,117
132.0,135,51,117
133.0,136,51,114
134.0,136,51,114
135.0,136,51,111
136.0,136,51,111
137.0,136,52,108
138.0,136,52,108
139.0,136,53,106
140.0,135,54,106
141.0,135,54,97
142.0,136,55,97
143.0,137,56,100
144.0,138,56,100
145.0,138,56,101
146.0,138,56,101
147.0,137,59,103
148.0,137,59,103
149.0,136,61,104
150.0,136,61,104
151.0,135,62,106
152.0,135,63,106
153.0,136,63,104
154.0,136,64,104
155.0,135,65,102
156.0,135,68,102
157.0,134,68,100
158.0,133,69,100
159.0,132,70,94
160.0,133,70,94
161.0,131,66,90
162.0,130,68,90
163.0,131,68,97
164.0,132,68,97
165.0,131,68,102
166.0,131,68,102
167.0,131,68,94
168.0,131,68,94
169.0,134,68,94
170.0,134,68,90
171.0,134,69,90
172.0,135,69,95
