# EcoSim run log
# timestamp=2026-06-25 18:02:29
# sampleIntervalSeconds=1
#
# --- SimulationSettings ---
# preyEnergyPerPlant=0.35
# preyReproThreshold=0.55
# preyReproCost=0.25
# preyReproCooldown=30
# preyCarryingCapacity=150
# preyCapPredatorSensitivity=0
# attackRange=2
# killChance=0.25
# handlingTime=36
# predatorEnergyPerPrey=0.55
# predatorReproThreshold=0.6
# predatorReproCost=0.4
# predatorReproCooldown=54
# predatorMetabolicDrain=0.0027
# preyMetabolicDrain=0.0005
# hungerRate=0.0005
# predatorFoodRatio=3
# predatorInterference=0.5
# energyMax=1
# preyScale=1
# predatorScale=1.2
# mutationRate=0.05
# mutationStrength=0.1
# speedMin=1.5
# speedMax=7
# visionMin=6
# visionMax=24
# socialMin=-2
# socialMax=2.5
# plantGrowthRate=0.01
# plantCarryingCapacityFraction=0.35
# fruitRegrowTime=48
# plantMinHeight=0.25
# logSampleInterval=1
#
# --- Coefficienti Lotka-Volterra (derivati, informativi) ---
# alpha=0.033333
# beta=0.005
# gamma=0.0027
# delta=1.375
#
# --- Popolazione iniziale ---
# prey0=60
# predators0=30
# plants0=0
#
t_seconds,prey,predators,plants
0.0,60,30,0
1.0,60,30,0
2.0,60,30,7
3.0,60,30,7
4.0,60,30,18
5.0,60,30,18
6.0,60,30,18
7.0,60,30,29
8.0,60,30,29
9.0,60,30,38
10.0,60,30,38
11.0,60,30,40
12.0,60,30,40
13.0,60,30,50
14.0,60,30,50
15.0,60,30,59
16.0,65,30,59
17.0,66,30,65
18.0,72,30,65
19.0,75,30,67
20.0,79,30,67
21.0,86,30,75
22.0,87,30,75
23.0,90,30,79
24.0,95,30,79
25.0,101,30,82
26.0,104,30,82
27.0,108,30,82
28.0,111,30,82
29.0,114,31,87
30.0,119,31,87
31.0,120,31,85
32.0,120,31,85
33.0,120,31,97
34.0,119,33,97
35.0,119,34,108
36.0,119,37,108
37.0,118,38,111
38.0,116,40,111
39.0,116,41,111
40.0,116,43,111
41.0,116,43,113
42.0,116,45,113
43.0,116,46,118
44.0,115,47,118
45.0,115,49,118
46.0,119,49,118
47.0,118,50,115
48.0,122,50,115
49.0,124,54,114
50.0,125,56,114
51.0,130,56,111
52.0,130,56,111
53.0,132,58,113
54.0,131,60,113
55.0,137,60,116
56.0,139,60,116
57.0,144,60,118
58.0,145,60,118
59.0,145,60,118
60.0,146,60,118
61.0,148,60,119
62.0,149,60,119
63.0,150,60,123
64.0,150,60,123
65.0,150,60,127
66.0,150,60,127
67.0,149,60,126
68.0,150,60,126
69.0,150,60,126
70.0,149,60,125
71.0,149,60,125
72.0,149,60,121
73.0,150,60,121
74.0,149,60,122
75.0,149,60,122
76.0,149,60,112
77.0,149,60,112
78.0,149,60,115
79.0,149,60,115
80.0,149,60,121
81.0,149,60,121
82.0,149,60,119
83.0,149,61,119
84.0,148,61,128
85.0,147,61,128
86.0,147,61,132
87.0,148,61,132
88.0,150,62,132
89.0,150,63,132
90.0,150,65,138
91.0,150,67,138
92.0,150,69,136
93.0,150,70,136
94.0,150,72,135
95.0,150,72,135
96.0,150,74,133
97.0,150,75,133
98.0,150,76,133
99.0,150,78,133
100.0,150,78,127
101.0,149,80,127
102.0,148,81,128
103.0,147,86,128
104.0,149,88,130
105.0,147,89,130
106.0,147,90,131
107.0,143,96,131
108.0,145,98,131
109.0,144,99,131
110.0,143,100,122
111.0,142,100,122
112.0,142,100,118
113.0,142,101,118
114.0,140,102,111
115.0,138,104,111
116.0,137,104,107
117.0,135,105,107
118.0,136,105,107
119.0,136,105,108
120.0,135,106,108
121.0,135,106,107
122.0,135,106,107
123.0,134,106,99
124.0,133,106,99
125.0,133,106,103
126.0,133,107,103
127.0,131,107,103
128.0,131,107,103
129.0,130,108,104
130.0,130,108,104
131.0,130,108,109
132.0,129,108,109
133.0,128,108,108
134.0,129,108,108
135.0,131,108,111
136.0,130,109,111
137.0,129,110,104
138.0,128,110,104
139.0,128,111,109
140.0,128,111,109
141.0,127,112,114
142.0,126,113,114
143.0,128,114,113
144.0,126,117,113
145.0,125,119,111
146.0,122,120,111
147.0,121,121,116
148.0,120,123,116
149.0,119,124,118
150.0,119,126,118
151.0,119,127,116
152.0,118,127,116
153.0,117,127,115
154.0,116,129,115
155.0,116,130,113
156.0,112,132,113
157.0,110,137,113
158.0,109,141,113
159.0,108,141,113
160.0,107,143,113
161.0,102,142,113
162.0,100,145,115
163.0,98,146,115
164.0,98,148,115
165.0,96,148,115
166.0,94,149,117
167.0,94,149,117
168.0,94,151,120
169.0,94,153,120
170.0,94,153,120
171.0,94,154,120
172.0,93,154,117
173.0,92,154,117
174.0,92,155,121
175.0,90,156,121
176.0,88,156,120
177.0,86,156,120
178.0,86,156,117
179.0,87,155,117
180.0,86,156,112
181.0,86,156,112
182.0,87,156,117
183.0,88,157,117
184.0,88,157,120
185.0,87,158,120
186.0,85,160,122
187.0,84,160,122
188.0,84,160,122
189.0,83,161,122
190.0,82,162,119
191.0,78,163,119
192.0,77,164,117
193.0,76,165,117
194.0,76,165,119
195.0,75,165,119
196.0,74,166,117
197.0,74,167,117
198.0,71,169,112
199.0,69,172,112
200.0,69,172,113
201.0,68,173,113
202.0,68,173,112
203.0,66,175,112
204.0,65,176,110
205.0,65,178,110
206.0,67,178,114
207.0,69,179,114
208.0,66,182,114
209.0,66,182,118
210.0,67,184,118
211.0,67,186,120
212.0,64,187,120
213.0,62,187,124
214.0,61,187,124
215.0,59,187,125
216.0,57,184,125
217.0,57,169,128
218.0,57,170,128
219.0,55,170,129
220.0,53,170,129
221.0,53,170,125
222.0,53,170,125
223.0,52,170,128
224.0,52,169,128
225.0,47,169,129
226.0,47,169,129
227.0,44,168,128
228.0,43,168,128
229.0,41,168,140
230.0,41,168,140
231.0,41,168,145
232.0,42,167,145
233.0,41,167,142
234.0,41,167,142
235.0,42,167,135
236.0,41,167,135
237.0,41,167,134
238.0,41,165,134
239.0,40,165,137
240.0,39,165,137
241.0,40,165,133
242.0,40,165,133
243.0,40,163,132
244.0,38,163,132
245.0,38,163,130
246.0,38,163,130
247.0,38,163,129
248.0,37,162,129
249.0,37,162,125
250.0,38,162,125
251.0,37,162,126
252.0,37,162,126
253.0,35,162,130
254.0,34,162,130
255.0,34,162,130
256.0,34,161,130
257.0,33,161,131
258.0,34,161,131
259.0,33,161,131
260.0,31,160,137
261.0,30,160,137
262.0,31,160,135
263.0,29,160,135
264.0,29,160,135
265.0,29,160,135
266.0,26,160,137
267.0,26,159,137
268.0,25,159,138
269.0,25,159,138
270.0,23,159,139
271.0,23,159,139
272.0,23,159,140
273.0,24,159,140
274.0,24,157,137
275.0,23,157,137
276.0,22,156,135
277.0,23,156,135
278.0,23,156,132
279.0,23,156,132
280.0,23,156,130
281.0,21,156,130
282.0,21,156,137
283.0,20,156,137
284.0,19,156,134
285.0,18,156,134
286.0,17,155,126
287.0,17,154,126
288.0,16,154,124
289.0,16,154,124
290.0,15,154,124
291.0,15,154,124
292.0,15,154,124
293.0,15,151,124
294.0,15,150,122
295.0,15,149,122
296.0,15,148,124
297.0,15,147,124
298.0,15,147,123
299.0,15,147,123
300.0,15,145,129
301.0,15,143,129
302.0,14,143,122
303.0,13,142,122
304.0,13,140,130
305.0,12,139,130
306.0,11,136,128
307.0,13,136,128
308.0,13,136,132
309.0,13,134,132
310.0,13,133,133
311.0,13,131,133
312.0,13,130,138
313.0,14,128,138
314.0,14,126,139
315.0,15,125,139
316.0,14,125,137
317.0,12,125,137
318.0,11,122,135
